Categoría: Todas las categorías

Semana,Manifestación: (Argentina)
2018-08-05,41
2018-08-12,13
2018-08-19,35
2018-08-26,26
2018-09-02,17
2018-09-09,15
2018-09-16,14
2018-09-23,21
2018-09-30,14
2018-10-07,11
2018-10-14,16
2018-10-21,20
2018-10-28,21
2018-11-04,16
2018-11-11,15
2018-11-18,22
2018-11-25,25
2018-12-02,23
2018-12-09,10
2018-12-16,9
2018-12-23,6
2018-12-30,7
2019-01-06,9
2019-01-13,10
2019-01-20,10
2019-01-27,5
2019-02-03,6
2019-02-10,7
2019-02-17,5
2019-02-24,7
2019-03-03,7
2019-03-10,8
2019-03-17,8
2019-03-24,8
2019-03-31,18
2019-04-07,14
2019-04-14,9
2019-04-21,11
2019-04-28,17
2019-05-05,11
2019-05-12,14
2019-05-19,13
2019-05-26,18
2019-06-02,13
2019-06-09,11
2019-06-16,10
2019-06-23,10
2019-06-30,10
2019-07-07,8
2019-07-14,8
2019-07-21,10
2019-07-28,20
2019-08-04,12
2019-08-11,10
2019-08-18,26
2019-08-25,43
2019-09-01,15
2019-09-08,17
2019-09-15,16
2019-09-22,19
2019-09-29,18
2019-10-06,24
2019-10-13,70
2019-10-20,76
2019-10-27,17
2019-11-03,14
2019-11-10,21
2019-11-17,19
2019-11-24,18
2019-12-01,15
2019-12-08,14
2019-12-15,15
2019-12-22,15
2019-12-29,7
2020-01-05,8
2020-01-12,7
2020-01-19,9
2020-01-26,5
2020-02-02,8
2020-02-09,12
2020-02-16,16
2020-02-23,8
2020-03-01,26
2020-03-08,53
2020-03-15,11
2020-03-22,13
2020-03-29,10
2020-04-05,8
2020-04-12,11
2020-04-19,14
2020-04-26,12
2020-05-03,19
2020-05-10,13
2020-05-17,18
2020-05-24,47
2020-05-31,40
2020-06-07,21
2020-06-14,20
2020-06-21,16
2020-06-28,14
2020-07-05,28
2020-07-12,14
2020-07-19,10
2020-07-26,11
2020-08-02,17
2020-08-09,20
2020-08-16,100
2020-08-23,26
2020-08-30,20
2020-09-06,43
2020-09-13,35
2020-09-20,22
2020-09-27,18
2020-10-04,23
2020-10-11,64
2020-10-18,22
2020-10-25,16
2020-11-01,17
2020-11-08,31
2020-11-15,21
2020-11-22,17
2020-11-29,17
2020-12-06,14
2020-12-13,13
2020-12-20,9
2020-12-27,8
2021-01-03,10
2021-01-10,6
2021-01-17,10
2021-01-24,9
2021-01-31,8
2021-02-07,12
2021-02-14,12
2021-02-21,31
2021-02-28,33
2021-03-07,31
2021-03-14,15
2021-03-21,10
2021-03-28,11
2021-04-04,13
2021-04-11,21
2021-04-18,17
2021-04-25,14
2021-05-02,19
2021-05-09,13
2021-05-16,14
2021-05-23,29
2021-05-30,14
2021-06-06,15
2021-06-13,14
2021-06-20,13
2021-06-27,12
2021-07-04,21
2021-07-11,16
2021-07-18,12
2021-07-25,16
2021-08-01,14
2021-08-08,15
2021-08-15,14
2021-08-22,12
2021-08-29,12
2021-09-05,12
2021-09-12,12
2021-09-19,12
2021-09-26,17
2021-10-03,18
2021-10-10,22
2021-10-17,31
2021-10-24,23
2021-10-31,22
2021-11-07,30
2021-11-14,32
2021-11-21,25
2021-11-28,20
2021-12-05,28
2021-12-12,21
2021-12-19,19
2021-12-26,9
2022-01-02,10
2022-01-09,9
2022-01-16,10
2022-01-23,9
2022-01-30,17
2022-02-06,11
2022-02-13,14
2022-02-20,18
2022-02-27,14
2022-03-06,20
2022-03-13,25
2022-03-20,18
2022-03-27,23
2022-04-03,17
2022-04-10,20
2022-04-17,16
2022-04-24,18
2022-05-01,21
2022-05-08,31
2022-05-15,15
2022-05-22,18
2022-05-29,19
2022-06-05,24
2022-06-12,21
2022-06-19,17
2022-06-26,19
2022-07-03,17
2022-07-10,18
2022-07-17,13
2022-07-24,17
2022-07-31,17
2022-08-07,21
2022-08-14,24
2022-08-21,24
2022-08-28,30
2022-09-04,17
2022-09-11,15
2022-09-18,17
2022-09-25,18
2022-10-02,16
2022-10-09,15
2022-10-16,17
2022-10-23,13
2022-10-30,19
2022-11-06,24
2022-11-13,19
2022-11-20,17
2022-11-27,15
2022-12-04,19
2022-12-11,15
2022-12-18,15
2022-12-25,13
2023-01-01,11
2023-01-08,11
2023-01-15,12
2023-01-22,9
2023-01-29,12
2023-02-05,13
2023-02-12,26
2023-02-19,12
2023-02-26,12
2023-03-05,20
2023-03-12,19
2023-03-19,20
2023-03-26,16
2023-04-02,19
2023-04-09,18
2023-04-16,17
2023-04-23,17
2023-04-30,18
2023-05-07,16
2023-05-14,22
2023-05-21,13
2023-05-28,19
2023-06-04,18
2023-06-11,20
2023-06-18,25
2023-06-25,20
2023-07-02,21
2023-07-09,14
2023-07-16,12
2023-07-23,9
